No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
152,2/16/21,15:42:14,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{382BC739-2A64-4EDA-BFCD-16F5A150352C},,,
153,2/16/21,15:42:43,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,,,Foul Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{7B01CA42-95C2-41A9-89C0-C2027FED0DE4},,,
154,2/16/21,15:43:19,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{D0708D7C-F275-4BBD-8DEA-5AC109962AD1},,,
155,2/16/21,15:43:34,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{6BAA8722-30EE-4001-9F5A-3D696E5F1BDF},,,
156,2/16/21,15:43:54,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,33.313,5.188,-2.358,1847,21.972,6:45,0.696,0.491,1.475,-1.848,-0.54,-0.192,0.351,-0.381,29.785,-8.327,-3.765,0.529,,,,,,,,,,,,0.079,-0.295,-0.418,15.24,0.835,1.42,-32.734,2.282,1.081,6.98,-13.84,Coe College,Coe College,,,,,{01BDBFA7-89F1-4600-A45C-AFAC7A195B50},0.381,0.351,
157,2/16/21,15:44:12,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{BC046C77-08C0-4956-97EA-178ABC3E4A2B},,,
158,2/16/21,15:44:34,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,30.246,6.745,-3.39,1974,6.376,6:15,0.812,0.807,1.23,-2.322,-0.666,-0.066,0.477,-0.253,27.092,-9.924,-3.867,0.594,,,,,,,,,,,,0.004,-0.36,-0.689,15.24,1.016,1.774,-29.531,2.625,0.049,5.509,-13.831,Coe College,Coe College,,,,,{2B33FE95-F4D1-45DA-ABE3-34116DBBAE50},0.253,0.477,
159,2/16/21,15:44:55,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Riley LeGrand,{24ACC51A-2541-446C-BA2C-8087FA840B67},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Contact Out,,,,,,,33.512,5.771,-1.387,1857,359.66,6:00,0.772,0.757,1.504,-1.987,-0.702,0.004,0.453,0.361,30.328,-8.708,-1.358,0.521,,,,,,,,,,,,-0.013,-0.388,-0.716,15.24,0.925,0.797,-32.997,2.588,-0.184,6.435,-15.265,Coe College,Coe College,,,,,{8360F1EC-1576-4E4E-923D-1711CF663453},-0.361,0.453,
165,2/16/21,15:48:30,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Nolan Cavanaugh,{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Foul Ball,,,,,,,38.843,1.787,-0.333,2324,39.944,7:15,1.524,0.525,1.33,-1.367,-0.394,-0.305,0.678,0.123,35.471,-8.023,-2.535,0.452,,,,,,,,,,,,0.154,-0.199,-0.51,15.24,1.567,0.368,-38.304,0.545,2.938,7.966,-13.621,Coe College,Coe College,,,,,{44A09F56-60D8-41E0-9A4F-D5335A0BD43C},-0.123,0.678,
166,2/16/21,15:48:46,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Nolan Cavanaugh,{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,Coe College,Wind Up,,Top,,,,Cutter,,Contact Out,,,,,,,33.753,0.71,0.562,2410,59.167,8:00,1.666,0.567,1.306,-1.601,-0.325,-0.471,0.272,0.26,31.094,-10.74,-2.846,0.519,31.819,6.923,23.92,,,,,30.476,,,1.059,0.245,-0.149,-0.58,15.24,1.671,-0.132,-33.507,-0.254,3.564,6.476,-11.977,Coe College,Coe College,,,,,{332B3390-5748-4DCF-B27D-F16CA673607A},-0.26,0.272,
