No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
230,2/2/21,18:08:25,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,36.518,3.377,-5.214,1985,349.286,5:45,1.579,0.728,1.781,-1.406,-0.357,0.061,1.135,-0.692,33.172,-6.994,-4.763,0.47,,,,,,,,,,,,-0.073,-0.2,-0.599,15.24,1.654,3.258,-35.945,1.629,-1.217,7.274,-13.159,Coe College,Coe College,,,,,{A231771B-E1EF-4A3E-B831-39496DAB4749},0.692,1.135,
231,2/2/21,18:08:42,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,32.899,3.146,-2.291,1811,282.713,3:30,1.531,0.945,2.167,-1.37,-0.143,0.422,1.032,0.733,29.693,-7.268,0.931,0.51,,,,,,,,,,,,-0.258,-0.08,-0.905,15.24,1.583,1.197,-32.503,1.454,-3.505,6.385,-10.899,Coe College,Coe College,,,,,{5007E1BA-B60D-4389-8AEE-97A5FC9EF702},-0.733,1.032,
232,2/2/21,18:08:59,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,32.265,3.83,-0.779,2325,33.047,7:00,1.711,0.752,1.77,-1.917,-0.579,-0.338,0.881,0.194,29.221,-10.372,-3.301,0.534,,,,,,,,,,,,0.176,-0.314,-0.73,15.24,1.793,0.539,-31.852,1.531,2.281,6.453,-13.886,Coe College,Coe College,,,,,{7BD7C183-3F2B-4299-A3A4-1C0E087CA251},-0.194,0.881,
233,2/2/21,18:09:17,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,36.354,3.334,-1.13,2203,358.977,6:00,1.575,0.743,1.86,-1.331,-0.285,0.005,1.184,0.429,33.205,-6.527,-1.095,0.467,,,,,,,,,,,,-0.01,-0.164,-0.716,15.24,1.645,0.705,-35.858,1.635,-0.174,6.68,-12.574,Coe College,Coe College,,,,,{3D630BD9-EFBC-4223-94E2-FBFC5C9B3B5C},-0.429,1.184,
234,2/2/21,18:09:35,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,33.528,3.957,-2.384,1828,324.323,4:45,1.561,0.7,1.878,-1.65,-0.411,0.26,1.027,0.288,30.143,-8.35,-0.437,0.512,,,,,,,,,,,,-0.161,-0.231,-0.646,15.24,1.642,1.29,-32.891,1.773,-2.25,6.498,-13.024,Coe College,Coe College,,,,,{6C918922-CA58-4947-8DCE-AAC0433AA6AD},-0.288,1.027,
235,2/2/21,18:09:53,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,35.985,1.957,-6.014,2042,294.422,3:45,1.534,0.85,1.893,-1.279,-0.22,0.426,0.809,-0.422,33.025,-7.505,-2.863,0.47,,,,,,,,,,,,-0.274,-0.119,-0.715,15.24,1.571,3.607,-35.571,0.799,-4.544,6.614,-11.786,Coe College,Coe College,,,,,{DC6F12D2-DEBC-4F38-8363-2CC561BABCB9},0.422,0.809,
236,2/2/21,18:10:12,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,31.883,2.386,-2.126,2154,68.592,8:15,1.667,0.757,1.699,-1.656,-0.278,-0.559,0.691,-0.407,29.012,-9.785,-6.264,0.541,,,,,,,,,,,,0.281,-0.138,-0.697,15.24,1.717,1.351,-31.53,0.78,3.579,6.295,-11.558,Coe College,Coe College,,,,,{C9949A1E-5321-4C81-BFE8-9384C5B2B27A},0.407,0.691,
237,2/2/21,18:11:02,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,36.529,3.859,-1.056,2274,349.219,5:45,1.574,0.741,1.824,-1.387,-0.346,0.061,1.279,0.503,33.323,-6.394,-0.606,0.466,,,,,,,,,,,,-0.04,-0.2,-0.716,15.24,1.658,0.643,-36.024,1.946,-0.684,6.794,-13.205,Coe College,Coe College,,,,,{E986AB39-2C36-4C22-9845-6B1AC5E19222},-0.503,1.279,
238,2/2/21,18:11:19,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,34.003,4.406,-3.181,1839,300.627,4:00,1.496,0.863,1.985,-1.488,-0.302,0.437,1.244,0.41,30.612,-6.761,0.107,0.5,,,,,,,,,,,,-0.267,-0.179,-0.798,15.24,1.582,1.731,-33.416,2.148,-3.851,6.502,-12.392,Coe College,Coe College,,,,,{B7F013CA-FE12-45B8-9D6F-6A2BE838D9E9},-0.41,1.244,
239,2/2/21,18:11:40,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,35.719,2.906,-5.076,2264,355.616,5:45,1.484,0.712,1.822,-1.56,-0.479,0.034,0.749,-0.691,32.859,-8.579,-4.822,0.476,,,,,,,,,,,,-0.056,-0.264,-0.59,15.24,1.544,3.127,-35.343,1.267,-0.906,6.784,-14.104,Coe College,Coe College,,,,,{BD649D7A-FBDD-419A-AC31-9B1FB9A3BCB5},0.691,0.749,
